id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
11,格林云墅,大兴,1150,57578元/平米,4室2厅1厨2卫,底层 (共4层),199.73㎡,复式,185.83㎡,板楼,东 南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,2017-08-13,商品房,2017-10-27,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
12,百子湾家园二区,朝阳,505,49101元/平米,2室1厅1厨1卫,低楼层 (共24层),102.85㎡,平层,82.91㎡,板塔结合,南,钢混结构,简装,两梯五户,集中供暖,有,70年,2019-05-08,商品房,2018-05-23,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
13,东王庄,海淀,759,83914元/平米,3室1厅1厨1卫,高楼层 (共6层),90.45㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-02-19,已购公房,2007-08-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
14,新桥南大街,门头沟,230,43578元/平米,2室1厅1厨1卫,底层 (共6层),52.78㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,2019-08-03,已购公房,1997-05-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
15,化工大院,东城,550,99010元/平米,3室1厅1厨1卫,高楼层 (共6层),55.55㎡,平层,55.55㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019-04-20,私产,2004-06-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
16,碧桂园小区二区,房山,259,28949元/平米,2室1厅1厨1卫,底层 (共6层),89.47㎡,平层,80.29㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019-09-01,商品房,2019-08-12,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
17,星河城西区,丰台,650,64825元/平米,3室1厅1厨1卫,中楼层 (共17层),100.27㎡,平层,83.05㎡,板塔结合,东 西 北,钢混结构,简装,两梯五户,集中供暖,有,70年,2019-11-13,私产,2008-04-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
18,远洋山水,石景山,920,68113元/平米,3室1厅1厨2卫,顶层 (共24层),135.07㎡,平层,111.96㎡,板塔结合,东南,钢混结构,其他,两梯五户,集中供暖,有,70年,2019-12-04,商品房,2018-05-04,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
19,首城汇景湾,平谷,178,25227元/平米,1室1厅1厨1卫,中楼层 (共18层),70.56㎡,平层,52.92㎡,板楼,南,钢混结构,其他,一梯四户,集中供暖,有,70年,2019-03-22,商品房,2016-10-24,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片
20,瑞海家园一区,大兴,405,41637元/平米,2室2厅1厨1卫,高楼层 (共6层),97.27㎡,平层,86.52㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019-04-30,一类经济适用房,2005-10-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
21,倚山嘉园,门头沟,235,32762元/平米,1室1厅1厨1卫,顶层 (共11层),71.73㎡,平层,暂无数据,板楼,东,钢混结构,精装,一梯三户,自供暖,有,70年,2019-08-07,商品房,2008-10-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
22,龙泽苑东区,昌平,420,55373元/平米,2室1厅1厨1卫,中楼层 (共7层),75.85㎡,平层,68.65㎡,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,无,70年,2019-12-08,商品房,2012-05-22,普通住宅,满五年,非共有,"
                                有抵押 60万元 农业银行 客户偿还
                              ",已上传房本照片
23,润西山苑,门头沟,555,43660元/平米,3室1厅1厨2卫,高楼层 (共10层),127.12㎡,平层,106.31㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,2018-12-26,商品房,2019-03-29,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
24,桃园小区,门头沟,240,28226元/平米,2室1厅1厨1卫,顶层 (共6层),85.03㎡,平层,76.1㎡,板楼,东 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019-09-05,已购公房,2011-12-12,普通住宅,满五年,非共有,"
                                有抵押 6万元 建设银行 业主自还
                              ",已上传房本照片
25,中门寺街67号院,门头沟,249,32729元/平米,2室1厅1厨1卫,低楼层 (共6层),76.08㎡,平层,67.09㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-07-04,商品房,2002-07-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
26,小营西路1号,朝阳,388,53049元/平米,2室1厅1厨1卫,中楼层 (共7层),73.14㎡,平层,50.86㎡,板楼,南,混合结构,简装,一梯四户,集中供暖,无,70年,2018-05-10,已购公房,2001-04-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
27,军庄杨坨小区,门头沟,135,27974元/平米,2室1厅1厨1卫,中楼层 (共6层),48.26㎡,平层,33.8㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019-04-06,商品房,2017-01-22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
28,首创伊林郡,房山,295,35998元/平米,2室1厅1厨1卫,低楼层 (共17层),81.95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,70年,2018-08-07,商品房,2017-07-21,普通住宅,满两年,非共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片
29,首城汇景湾,平谷,310,22492元/平米,3室2厅1厨2卫,中楼层 (共10层),137.83㎡,平层,110.78㎡,暂无数据,南 北 西,钢混结构,其他,一梯两户,集中供暖,有,70年,2019-11-29,商品房,2017-10-17,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片
30,白纸坊东街25号院,西城,570,98770元/平米,2室1厅1厨1卫,顶层 (共6层),57.71㎡,平层,40.86㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,2019-03-24,央产房,2005-08-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
31,万年花城四期,丰台,340,69092元/平米,1室1厅1厨1卫,中楼层 (共27层),49.21㎡,平层,40.39㎡,塔楼,东,钢混结构,简装,三梯十户,集中供暖,有,70年,2019-07-24,商品房,2010-01-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
32,阿凯笛亚庄园,顺义,1000,44042元/平米,4室2厅1厨3卫,高楼层 (共7层),227.06㎡,平层,198.97㎡,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,有,70年,2019-07-31,商品房,2010-08-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
33,远洋山水,石景山,600,52233元/平米,2室2厅1厨2卫,底层 (共20层),114.87㎡,平层,95.28㎡,板塔结合,西,钢混结构,简装,两梯五户,集中供暖,有,70年,2019-10-29,商品房,2010-11-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
34,利泽西园,朝阳,670,62629元/平米,3室1厅1厨1卫,中楼层 (共24层),106.98㎡,平层,84.42㎡,塔楼,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,2019-11-22,商品房,2007-11-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
35,长阳半岛怡和南路10号院,房山,475,45890元/平米,3室1厅1厨1卫,中楼层 (共9层),103.51㎡,平层,81.18㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2018-07-17,商品房,2017-01-11,普通住宅,满两年,共有,"
                                有抵押 90万元 工商银行 业主自还
                              ",已上传房本照片
36,龙湖花盛香醍,通州,1540,68837元/平米,4室2厅1厨3卫,中楼层 (共9层),223.72㎡,平层,198.56㎡,板楼,南,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-03-17,商品房,2011-03-15,普通住宅,满五年,非共有,"
                                有抵押 200万元 中信银行 客户偿还
                              ",已上传房本照片
37,融泽嘉园,昌平,580,50492元/平米,3室1厅1厨1卫,低楼层 (共31层),114.87㎡,平层,83.81㎡,板塔结合,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,2018-08-25,二类经济适用房,2017-05-17,普通住宅,满两年,非共有,"
                                有抵押 60万元 公积金尾款 客户偿还
                              ",已上传房本照片
38,香悦四季,顺义,528,55574元/平米,3室2厅1厨2卫,底层 (共9层),95.01㎡,平层,75.96㎡,板楼,南,钢混结构,其他,一梯三户,集中供暖,有,70年,2019-11-14,商品房,2017-02-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
39,远洋山水,石景山,665,66091元/平米,2室2厅1厨1卫,低楼层 (共26层),100.62㎡,平层,80.48㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,2018-08-12,商品房,2015-08-04,普通住宅,满两年,共有,"
                                有抵押 60万元 公积金 业主自还
                              ",已上传房本照片
40,水仙园,通州,415,49488元/平米,2室1厅1厨1卫,中楼层 (共6层),83.86㎡,平层,75.45㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018-09-02,私产,2005-09-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
41,阿尔法社区二期,通州,470,44203元/平米,3室1厅1厨2卫,高楼层 (共6层),106.33㎡,平层,94.46㎡,板楼,南 北,混合结构,其他,一梯两户,自供暖,无,70年,2019-06-30,商品房,2015-05-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
42,金科天玺,昌平,850,44336元/平米,3室2厅1厨3卫,底层 (共2层),191.72㎡,跃层,182.39㎡,暂无数据,南 北,钢混结构,其他,一梯一户,暂无数据,暂无数据,70年,2019-11-15,商品房,2016-03-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
43,中建国际城,顺义,350,44740元/平米,2室1厅1厨1卫,顶层 (共15层),78.23㎡,平层,62.82㎡,板楼,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-03-11,商品房,2016-10-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
44,港馨家园福景苑,顺义,465,32798元/平米,3室1厅1厨2卫,高楼层 (共18层),141.78㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,2019-08-07,商品房,2015-10-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
45,东方太阳城,顺义,490,38068元/平米,3室2厅1厨2卫,底层 (共4层),128.72㎡,平层,112.86㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,有,70年,2019-03-19,商品房,2019-03-21,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
46,中海紫御公馆,东城,970,106337元/平米,2室2厅1厨1卫,中楼层 (共19层),91.22㎡,平层,72.35㎡,板塔结合,南 北,钢混结构,简装,两梯六户,集中供暖,有,70年,2018-09-20,商品房,2011-03-20,普通住宅,满五年,非共有,"
                                有抵押 695万元 担保公司 客户偿还
                              ",已上传房本照片
47,博龙家园,丰台,300,44353元/平米,1室1厅1厨1卫,低楼层 (共19层),67.64㎡,平层,52.34㎡,板塔结合,西,钢混结构,简装,两梯八户,集中供暖,有,70年,2019-11-08,商品房,2009-05-25,普通住宅,满五年,共有,"
                                有抵押 210万元 工商银行35万平安普惠175
                              ",已上传房本照片
48,豆瓣胡同,东城,650,135445元/平米,1室1厅1厨1卫,低楼层 (共21层),47.99㎡,平层,暂无数据,板楼,东,钢混结构,简装,两梯四户,自供暖,有,70年,2018-04-06,商品房,2013-06-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
49,国风北京,朝阳,850,79730元/平米,2室1厅1厨1卫,中楼层 (共14层),106.61㎡,平层,88.57㎡,板楼,东南,钢混结构,精装,两梯三户,自供暖,有,70年,2019-11-06,商品房,2007-06-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
50,丽舍公寓,朝阳,570,102169元/平米,1室1厅1厨2卫,中楼层 (共13层),55.79㎡,复式,38.98㎡,塔楼,东,钢混结构,简装,两梯十二户,自供暖,有,70年,2019-11-04,商品房,2016-02-05,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
51,顺驰领海,大兴,480,52887元/平米,2室1厅1厨1卫,中楼层 (共9层),90.76㎡,平层,75.61㎡,板塔结合,南,钢混结构,精装,一梯三户,集中供暖,有,70年,2019-06-04,商品房,2011-07-18,普通住宅,满五年,共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片
52,金泰丽湾悦栖山,门头沟,369,39776元/平米,2室1厅1厨1卫,低楼层 (共21层),92.77㎡,平层,71.9㎡,板塔结合,南,钢混结构,简装,两梯四户,集中供暖,有,70年,2018-05-06,商品房,2017-04-20,普通住宅,满两年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片
53,润枫锦尚,大兴,406,44773元/平米,2室1厅1厨1卫,中楼层 (共10层),90.68㎡,平层,74.66㎡,板塔结合,东 西,钢混结构,简装,两梯五户,自供暖,有,70年,2018-11-23,商品房,2013-04-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
54,观澜国际,海淀,1550,90958元/平米,3室2厅1厨2卫,低楼层 (共17层),170.41㎡,平层,139.97㎡,板楼,东南 西北,钢混结构,精装,两梯两户,自供暖,有,70年,2018-11-24,商品房,2006-08-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
55,惠民家园,门头沟,260,38196元/平米,2室1厅1厨1卫,底层 (共9层),68.07㎡,平层,56.49㎡,板楼,东 南,钢混结构,精装,一梯四户,集中供暖,有,70年,2018-09-13,二类经济适用房,2018-06-20,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
56,京汉旭城,石景山,535,58419元/平米,2室2厅1厨1卫,低楼层 (共16层),91.58㎡,平层,72.56㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019-10-20,商品房,2007-02-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
57,清澄名苑南区,大兴,620,43623元/平米,3室2厅1厨2卫,低楼层 (共11层),142.13㎡,平层,124.71㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,2018-07-11,私产,2006-08-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
58,依翠园,石景山,439,45559元/平米,3室1厅1厨1卫,顶层 (共6层),96.36㎡,平层,暂无数据,板楼,东 东南 南,混合结构,简装,一梯三户,集中供暖,无,70年,2019-03-24,商品房,2016-10-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
59,古城南里,石景山,275,45149元/平米,2室1厅1厨1卫,顶层 (共14层),60.91㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯三户,集中供暖,有,70年,2019-05-02,已购公房,1996-11-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
60,东花市北里中区,东城,850,80333元/平米,2室2厅1厨1卫,中楼层 (共5层),105.81㎡,平层,76㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019-10-28,央产房,2018-09-05,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
61,新龙城,昌平,390,53469元/平米,1室1厅1厨1卫,底层 (共20层),72.94㎡,平层,56.08㎡,板楼,南 北,钢混结构,精装,两梯两户,自供暖,有,70年,2018-11-21,商品房,2015-09-22,普通住宅,满两年,非共有,"
                                有抵押 110万元 业主自还
                              ",已上传房本照片
62,惠泽家园,门头沟,335,33925元/平米,3室1厅1厨1卫,中楼层 (共6层),98.75㎡,平层,87.2㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019-07-27,二类经济适用房,2012-05-11,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片
63,馨港庄园三区,顺义,305,23879元/平米,3室2厅1厨1卫,高楼层 (共6层),127.73㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019-11-06,商品房,2016-02-17,普通住宅,满两年,非共有,"
                                有抵押 60万元 中国建设银行 客户偿还
                              ",已上传房本照片
64,长兴公寓,大兴,298,29274元/平米,2室2厅1厨1卫,中楼层 (共26层),101.8㎡,平层,65.47㎡,塔楼,东北,钢混结构,简装,两梯十户,集中供暖,有,70年,2018-08-05,商品房,2015-03-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
65,月坛北小街1号院,西城,1080,114894元/平米,3室1厅1厨1卫,低楼层 (共18层),94㎡,平层,68.29㎡,板塔结合,西,钢混结构,简装,一梯五户,集中供暖,有,70年,2018-08-19,已购公房,2016-08-23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
66,DBC加州小镇,通州,870,54437元/平米,4室2厅1厨2卫,顶层 (共11层),159.82㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,2019-08-25,商品房,2016-08-09,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
67,沙河回收宿舍,昌平,209,32744元/平米,2室1厅1厨1卫,中楼层 (共6层),63.83㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019-03-23,已购公房,2000-07-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
68,绿城百合公寓玉泉苑,房山,249,26743元/平米,2室1厅1厨1卫,低楼层 (共17层),93.11㎡,平层,72.1㎡,板楼,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,2019-12-06,商品房,2012-11-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
69,原香小镇一区,房山,330,37394元/平米,2室1厅1厨1卫,高楼层 (共10层),88.25㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,自供暖,有,70年,2019-12-07,商品房,2017-10-23,普通住宅,满两年,非共有,"
                                有抵押 128万元
                              ",已上传房本照片
70,鸿坤理想城曦望山,大兴,336,53606元/平米,1室1厅1厨1卫,中楼层 (共23层),62.68㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,自供暖,有,70年,2019-10-21,商品房,2016-04-25,普通住宅,满两年,非共有,"
                                有抵押 56万元 建行国管公积金 业主自还
                              ",已上传房本照片
71,蓝海苑,顺义,610,42777元/平米,3室2厅1厨2卫,低楼层 (共11层),142.6㎡,平层,121.24㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2019-09-23,商品房,2017-01-11,普通住宅,满两年,非共有,"
                                有抵押 250万元 北京银行 客户偿还
                              ",已上传房本照片
72,安贞西里,朝阳,355,85337元/平米,1室1厅1厨1卫,中楼层 (共6层),41.6㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019-08-30,已购公房,2000-09-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
73,港馨家园福景苑,顺义,470,33150元/平米,3室2厅1厨2卫,低楼层 (共18层),141.78㎡,平层,105.47㎡,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,2019-03-26,商品房,2016-09-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
74,广安﹒康馨家园,丰台,336,43808元/平米,2室1厅1厨1卫,高楼层 (共34层),76.7㎡,平层,55.85㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-09-04,二类经济适用房,2017-03-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
75,丽景长安,门头沟,696,48160元/平米,4室1厅1厨2卫,低楼层 (共11层),144.52㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,2019-05-22,商品房,2016-07-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
76,桃园公寓,昌平,388,23684元/平米,4室1厅1厨2卫,高楼层 (共7层),163.83㎡,平层,139.55㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018-07-31,商品房,2006-04-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
77,城子二斜井,门头沟,166,39790元/平米,1室1厅1厨1卫,中楼层 (共6层),41.72㎡,平层,暂无数据,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,2019-07-12,商品房,2017-01-11,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片
78,本家润园一期,东城,3100,136926元/平米,4室1厅1厨2卫,中楼层 (共10层),226.4㎡,平层,188.87㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,2019-09-17,商品房,2008-07-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
79,北京太阳城,昌平,415,29209元/平米,3室2厅1厨2卫,底层 (共6层),142.08㎡,平层,119.64㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,2018-08-01,商品房,2009-03-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
80,长阳半岛2号院,房山,450,43903元/平米,3室1厅1厨1卫,高楼层 (共18层),102.5㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019-03-20,商品房,2013-07-16,普通住宅,满五年,非共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片
81,沸城,丰台,528,42390元/平米,2室1厅1厨2卫,高楼层 (共23层),124.56㎡,平层,98.74㎡,板塔结合,南 北,钢混结构,其他,两梯四户,集中供暖,有,70年,2019-01-05,商品房,2009-12-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
82,雅丽世居,通州,545,38840元/平米,3室1厅1厨2卫,中楼层 (共11层),140.32㎡,平层,109.03㎡,板楼,南 西 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2018-10-09,商品房,2007-09-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
83,永铁苑,东城,595,69910元/平米,2室1厅1厨1卫,顶层 (共22层),85.11㎡,平层,暂无数据,塔楼,西南,混合结构,简装,三梯十二户,集中供暖,有,70年,2019-12-05,商品房,2019-05-10,普通住宅,未满两年,非共有,"
                                有抵押 340万元 银行 客户偿还
                              ",已上传房本照片
84,后现代城C区,朝阳,380,59200元/平米,1室0厅1厨1卫,低楼层 (共27层),64.19㎡,平层,暂无数据,塔楼,西,钢混结构,简装,三梯十一户,集中供暖,有,70年,2019-11-24,商品房,2007-07-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
85,雍景双庐,石景山,447,49464元/平米,2室1厅1厨1卫,低楼层 (共25层),90.37㎡,平层,72.57㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,2019-11-15,商品房,2016-05-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
86,金隅美和园,海淀,509,65593元/平米,3室1厅1厨1卫,中楼层 (共9层),77.6㎡,平层,68.73㎡,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,无,70年,2019-10-17,限价商品房,2010-07-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
87,北潞春家园,房山,229,24688元/平米,2室1厅1厨1卫,中楼层 (共6层),92.76㎡,平层,81.66㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019-08-08,一类经济适用房,2014-02-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
88,天通苑北一区,昌平,599,34895元/平米,3室1厅1厨1卫,高楼层 (共13层),171.66㎡,复式,148.74㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,2017-09-22,私产,2008-11-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
89,芳源里,大兴,320,56970元/平米,1室1厅1厨1卫,高楼层 (共6层),56.17㎡,平层,49.97㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,2018-06-29,商品房,2018-06-21,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
90,保利首开熙悦春天,大兴,385,39971元/平米,4室1厅1厨2卫,高楼层 (共26层),96.32㎡,暂无数据,71.43㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,2019-11-02,商品房,2018-09-13,普通住宅,未满两年,非共有,"
                                有抵押 100万元 公积金 客户偿还
                              ",已上传房本照片
